Company Name,Industry,Symbol
Inox Leisure Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,INOXLEISUR
Intellect Design Arena Ltd.,IT,INTELLECT
InterGlobe Aviation Ltd.,SERVICES,INDIGO
Ipca Laboratories Ltd.,PHARMA,IPCALAB
J.B. Chemicals & Pharmaceuticals Ltd.,PHARMA,JBCHEPHARM
J.K. Cement Ltd.,CEMENT & CEMENT PRODUCTS,JKCEMENT
JK Lakshmi Cement Ltd.,CEMENT & CEMENT PRODUCTS,JKLAKSHMI
JK Paper Ltd.,PAPER AND JUTE,JKPAPER
JK Tyre & Industries Ltd.,AUTOMOBILE,JKTYRE
JM Financial Ltd.,FINANCIAL SERVICES,JMFINANCIL
JSW Energy Ltd.,POWER,JSWENERGY
JSW Steel Ltd.,METALS,JSWSTEEL
JTEKT India Ltd.,AUTOMOBILE,JTEKTINDIA
Jamna Auto Industries Ltd.,AUTOMOBILE,JAMNAAUTO
Jindal Saw Ltd.,METALS,JINDALSAW
Jindal Stainless (Hisar) Ltd.,METALS,JSLHISAR
Jindal Stainless Ltd.,METALS,JSL
Jindal Steel & Power Ltd.,METALS,JINDALSTEL
Johnson Controls - Hitachi Air Conditioning India Ltd.,CONSUMER GOODS,JCHAC
Jubilant Foodworks Ltd.,CONSUMER SERVICES,JUBLFOOD
Justdial Ltd.,CONSUMER SERVICES,JUSTDIAL
Jyothy Labs Ltd.,CONSUMER GOODS,JYOTHYLAB
K.P.R. Mill Ltd.,TEXTILES,KPRMILL
KEI Industries Ltd.,INDUSTRIAL MANUFACTURING,KEI
KNR Constructions Ltd.,CONSTRUCTION,KNRCON
KPIT Technologies Ltd.,IT,KPITTECH
KRBL Ltd.,CONSUMER GOODS,KRBL
KSB Ltd.,INDUSTRIAL MANUFACTURING,KSB
Kajaria Ceramics Ltd.,CONSUMER GOODS,KAJARIACER
Kalpataru Power Transmission Ltd.,POWER,KALPATPOWR
Kansai Nerolac Paints Ltd.,CONSUMER GOODS,KANSAINER
Karur Vysya Bank Ltd.,FINANCIAL SERVICES,KARURVYSYA
Kaveri Seed Company Ltd.,CONSUMER GOODS,KSCL
Kec International Ltd.,POWER,KEC
Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,KOTAKBANK
L&T Finance Holdings Ltd.,FINANCIAL SERVICES,L&TFH
L&T Technology Services Ltd.,SERVICES,LTTS
LIC Housing Finance Ltd.,FINANCIAL SERVICES,LICHSGFIN
La Opala RG Ltd.,CONSUMER GOODS,LAOPALA
Lakshmi Machine Works Ltd.,INDUSTRIAL MANUFACTURING,LAXMIMACH
Larsen & Toubro Infotech Ltd.,IT,LTI
Larsen & Toubro Ltd.,CONSTRUCTION,LT
Laurus Labs Ltd.,PHARMA,LAURUSLABS
Lemon Tree Hotels Ltd.,CONSUMER SERVICES,LEMONTREE
Linde India Ltd.,CHEMICALS,LINDEINDIA
Lupin Ltd.,PHARMA,LUPIN
Lux Industries Ltd.,TEXTILES,LUXIND
MAS Financial Services Ltd.,FINANCIAL SERVICES,MASFIN
MMTC Ltd.,SERVICES,MMTC
MOIL Ltd.,METALS,MOIL
MRF Ltd.,AUTOMOBILE,MRF
Mahanagar Gas Ltd.,OIL & GAS,MGL
Maharashtra Scooters Ltd.,FINANCIAL SERVICES,MAHSCOOTER
Maharashtra Seamless Ltd.,METALS,MAHSEAMLES
Mahindra & Mahindra Financial Services Ltd.,FINANCIAL SERVICES,M&MFIN
Mahindra & Mahindra Ltd.,AUTOMOBILE,M&M
Mahindra CIE Automotive Ltd.,INDUSTRIAL MANUFACTURING,MAHINDCIE
Mahindra Holidays & Resorts India Ltd.,CONSUMER SERVICES,MHRIL
Mahindra Logistics Ltd.,SERVICES,MAHLOG
Manappuram Finance Ltd.,FINANCIAL SERVICES,MANAPPURAM
Mangalore Refinery & Petrochemicals Ltd.,OIL & GAS,MRPL
Marico Ltd.,CONSUMER GOODS,MARICO
Maruti Suzuki India Ltd.,AUTOMOBILE,MARUTI
Max Financial Services Ltd.,FINANCIAL SERVICES,MFSL
Max Healthcare Institute Ltd.,HEALTHCARE SERVICES,MAXHEALTH
Mazagoan Dock Shipbuilders Ltd.,INDUSTRIAL MANUFACTURING,MAZDOCK
Metropolis Healthcare Ltd.,HEALTHCARE SERVICES,METROPOLIS
MindTree Ltd.,IT,MINDTREE
Minda Corporation Ltd.,AUTOMOBILE,MINDACORP
Minda Industries Ltd.,AUTOMOBILE,MINDAIND
Mishra Dhatu Nigam Ltd.,METALS,MIDHANI
Motherson Sumi Systems Ltd.,AUTOMOBILE,MOTHERSUMI
Motilal Oswal Financial Services Ltd.,FINANCIAL SERVICES,MOTILALOFS
MphasiS Ltd.,IT,MPHASIS
Multi Commodity Exchange of India Ltd.,FINANCIAL SERVICES,MCX
Muthoot Finance Ltd.,FINANCIAL SERVICES,MUTHOOTFIN
NATCO Pharma Ltd.,PHARMA,NATCOPHARM
NBCC (India) Ltd.,CONSTRUCTION,NBCC
NCC Ltd.,CONSTRUCTION,NCC
NESCO Ltd.,SERVICES,NESCO
NHPC Ltd.,POWER,NHPC
NLC India Ltd.,POWER,NLCINDIA
NMDC Ltd.,METALS,NMDC
NOCIL Ltd.,CHEMICALS,NOCIL
NTPC Ltd.,POWER,NTPC
Narayana Hrudayalaya Ltd.,HEALTHCARE SERVICES,NH
National Aluminium Co. Ltd.,METALS,NATIONALUM
National Fertilizers Ltd.,FERTILISERS & PESTICIDES,NFL
Navin Fluorine International Ltd.,CHEMICALS,NAVINFLUOR
Nestle India Ltd.,CONSUMER GOODS,NESTLEIND
Network18 Media & Investments Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,NETWORK18
Nilkamal Ltd.,INDUSTRIAL MANUFACTURING,NILKAMAL
Nippon Life India Asset Management Ltd.,FINANCIAL SERVICES,NAM-INDIA
Oberoi Realty Ltd.,CONSTRUCTION,OBEROIRLTY
Oil & Natural Gas Corporation Ltd.,OIL & GAS,ONGC
Oil India Ltd.,OIL & GAS,OIL
Oracle Financial Services Software Ltd.,IT,OFSS
Orient Electric Ltd.,CONSUMER GOODS,ORIENTELEC
Orient Refractories Ltd.,INDUSTRIAL MANUFACTURING,ORIENTREF
PI Industries Ltd.,FERTILISERS & PESTICIDES,PIIND
PNB Housing Finance Ltd.,FINANCIAL SERVICES,PNBHOUSING
PNC Infratech Ltd.,CONSTRUCTION,PNCINFRA
PVR Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,PVR
Page Industries Ltd.,TEXTILES,PAGEIND
Persistent Systems Ltd.,IT,PERSISTENT
Petronet LNG Ltd.,OIL & GAS,PETRONET
Pfizer Ltd.,PHARMA,PFIZER
Phillips Carbon Black Ltd.,CHEMICALS,PHILIPCARB
Phoenix Mills Ltd.,CONSTRUCTION,PHOENIXLTD
Pidilite Industries Ltd.,CHEMICALS,PIDILITIND
Piramal Enterprises Ltd.,FINANCIAL SERVICES,PEL
Poly Medicure Ltd.,HEALTHCARE SERVICES,POLYMED
Polycab India Ltd.,INDUSTRIAL MANUFACTURING,POLYCAB
Polyplex Corporation Ltd.,INDUSTRIAL MANUFACTURING,POLYPLEX
Power Finance Corporation Ltd.,FINANCIAL SERVICES,PFC
Power Grid Corporation of India Ltd.,POWER,POWERGRID
Prestige Estates Projects Ltd.,CONSTRUCTION,PRESTIGE
Prince Pipes and Fittings Ltd.,INDUSTRIAL MANUFACTURING,PRINCEPIPE
Prism Johnson Ltd.,CEMENT & CEMENT PRODUCTS,PRSMJOHNSN
Procter & Gamble Health Ltd.,PHARMA,PGHL
Procter & Gamble Hygiene & Health Care Ltd.,CONSUMER GOODS,PGHH
Punjab National Bank,FINANCIAL SERVICES,PNB
Quess Corp Ltd.,SERVICES,QUESS
RBL Bank Ltd.,FINANCIAL SERVICES,RBLBANK
REC Ltd.,FINANCIAL SERVICES,RECLTD
RITES Ltd.,SERVICES,RITES
Radico Khaitan Ltd,CONSUMER GOODS,RADICO
Rail Vikas Nigam Ltd.,CONSTRUCTION,RVNL
Rain Industries Ltd,CHEMICALS,RAIN
Rajesh Exports Ltd.,CONSUMER GOODS,RAJESHEXPO
Rallis India Ltd.,FERTILISERS & PESTICIDES,RALLIS
Rashtriya Chemicals & Fertilizers Ltd.,FERTILISERS & PESTICIDES,RCF
Ratnamani Metals & Tubes Ltd.,METALS,RATNAMANI
Raymond Ltd.,TEXTILES,RAYMOND
Redington (India) Ltd.,SERVICES,REDINGTON
Relaxo Footwears Ltd.,CONSUMER GOODS,RELAXO
Reliance Industries Ltd.,OIL & GAS,RELIANCE
Responsive Industries Ltd.,CONSUMER GOODS,RESPONIND
Rossari Biotech Ltd.,CHEMICALS,ROSSARI
Route Mobile Ltd.,IT,ROUTE
SBI Cards and Payment Services Ltd.,FINANCIAL SERVICES,SBICARD
SBI Life Insurance Company Ltd.,FINANCIAL SERVICES,SBILIFE
SIS Ltd.,SERVICES,SIS
SJVN Ltd.,POWER,SJVN
SKF India Ltd.,INDUSTRIAL MANUFACTURING,SKFINDIA
SRF Ltd.,CHEMICALS,SRF
Sanofi India Ltd.,PHARMA,SANOFI
Schaeffler India Ltd.,INDUSTRIAL MANUFACTURING,SCHAEFFLER
Schneider Electric Infrastructure Ltd.,INDUSTRIAL MANUFACTURING,SCHNEIDER
Sequent Scientific Ltd.,PHARMA,SEQUENT
Sharda Cropchem Ltd.,FERTILISERS & PESTICIDES,SHARDACROP
Sheela Foam Ltd.,CONSUMER GOODS,SFL
Shilpa Medicare Ltd.,PHARMA,SHILPAMED
Shipping Corporation of India Ltd.,SERVICES,SCI
Shoppers Stop Ltd.,CONSUMER SERVICES,SHOPERSTOP
Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,SHREECEM
Shriram City Union Finance Ltd.,FINANCIAL SERVICES,SHRIRAMCIT
Shriram Transport Finance Co. Ltd.,FINANCIAL SERVICES,SRTRANSFIN
Siemens Ltd.,INDUSTRIAL MANUFACTURING,SIEMENS
Sobha Ltd.,CONSTRUCTION,SOBHA
Solar Industries India Ltd.,CHEMICALS,SOLARINDS
Solara Active Pharma Sciences Ltd.,PHARMA,SOLARA
Sonata Software Ltd.,IT,SONATSOFTW
Spandana Sphoorty Financial Ltd.,FINANCIAL SERVICES,SPANDANA
Spicejet Ltd.,SERVICES,SPICEJET
Star Cement Ltd.,CEMENT & CEMENT PRODUCTS,STARCEMENT
State Bank of India,FINANCIAL SERVICES,SBIN
Steel Authority of India Ltd.,METALS,SAIL
Sterling And Wilson Solar Ltd.,CONSTRUCTION,SWSOLAR
Sterlite Technologies Ltd.,TELECOM,STLTECH
Strides Pharma Science Ltd.,PHARMA,STAR
Sudarshan Chemical Industries Ltd.,CHEMICALS,SUDARSCHEM
Sumitomo Chemical India Ltd.,FERTILISERS & PESTICIDES,SUMICHEM
Sun Pharma Advanced Research Company Ltd.,PHARMA,SPARC
Sun Pharmaceutical Industries Ltd.,PHARMA,SUNPHARMA
Sun TV Network Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,SUNTV
Sundaram Clayton Ltd.,AUTOMOBILE,SUNCLAYLTD
Sundaram Finance Ltd.,FINANCIAL SERVICES,SUNDARMFIN
Sundram Fasteners Ltd.,AUTOMOBILE,SUNDRMFAST
Sunteck Realty Ltd.,CONSTRUCTION,SUNTECK
Suprajit Engineering Ltd.,AUTOMOBILE,SUPRAJIT
Supreme Industries Ltd.,INDUSTRIAL MANUFACTURING,SUPREMEIND
Supreme Petrochem Ltd.,CHEMICALS,SUPPETRO
Suven Pharmaceuticals Ltd.,PHARMA,SUVENPHAR
Suzlon Energy Ltd.,INDUSTRIAL MANUFACTURING,SUZLON
Swan Energy Ltd.,TEXTILES,SWANENERGY
Symphony Ltd.,CONSUMER GOODS,SYMPHONY
Syngene International Ltd.,HEALTHCARE SERVICES,SYNGENE
TCI Express Ltd.,SERVICES,TCIEXP
TCNS Clothing Co. Ltd.,TEXTILES,TCNSBRANDS
TTK Prestige Ltd.,CONSUMER GOODS,TTKPRESTIG
TV18 Broadcast Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,TV18BRDCST
TVS Motor Company Ltd.,AUTOMOBILE,TVSMOTOR
Tanla Platforms Ltd.,IT,TANLA
Tasty Bite Eatables Ltd.,CONSUMER GOODS,TASTYBITE
Tata Chemicals Ltd.,CHEMICALS,TATACHEM
Tata Coffee Ltd.,CONSUMER GOODS,TATACOFFEE
Tata Communications Ltd.,TELECOM,TATACOMM
Tata Consultancy Services Ltd.,IT,TCS
Tata Consumer Products Ltd.,CONSUMER GOODS,TATACONSUM
Tata Elxsi Ltd.,IT,TATAELXSI
Tata Investment Corporation Ltd.,FINANCIAL SERVICES,TATAINVEST
Tata Motors Ltd DVR,AUTOMOBILE,TATAMTRDVR
Tata Motors Ltd.,AUTOMOBILE,TATAMOTORS
Tata Power Co. Ltd.,POWER,TATAPOWER
Tata Steel BSL Ltd.,METALS,TATASTLBSL
Tata Steel Ltd.,METALS,TATASTEEL
Teamlease Services Ltd.,SERVICES,TEAMLEASE
Tech Mahindra Ltd.,IT,TECHM
The New India Assurance Company Ltd.,FINANCIAL SERVICES,NIACL
The Ramco Cements Ltd.,CEMENT & CEMENT PRODUCTS,RAMCOCEM
Thermax Ltd.,INDUSTRIAL MANUFACTURING,THERMAX
Thyrocare Technologies Ltd.,HEALTHCARE SERVICES,THYROCARE
Timken India Ltd.,INDUSTRIAL MANUFACTURING,TIMKEN
Titan Company Ltd.,CONSUMER GOODS,TITAN
Torrent Pharmaceuticals Ltd.,PHARMA,TORNTPHARM
Torrent Power Ltd.,POWER,TORNTPOWER
Trent Ltd.,CONSUMER SERVICES,TRENT
Trident Ltd.,TEXTILES,TRIDENT
Triveni Turbine Ltd.,INDUSTRIAL MANUFACTURING,TRITURBINE
Tube Investments of India Ltd.,AUTOMOBILE,TIINDIA
UCO Bank,FINANCIAL SERVICES,UCOBANK
UFLEX Ltd.,INDUSTRIAL MANUFACTURING,UFLEX
UPL Ltd.,FERTILISERS & PESTICIDES,UPL
UTI Asset Management Company Ltd.,FINANCIAL SERVICES,UTIAMC
Ujjivan Financial Services Ltd.,FINANCIAL SERVICES,UJJIVAN
Ujjivan Small Finance Bank Ltd.,FINANCIAL SERVICES,UJJIVANSFB
UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,ULTRACEMCO
Union Bank of India,FINANCIAL SERVICES,UNIONBANK
United Breweries Ltd.,CONSUMER GOODS,UBL
United Spirits Ltd.,CONSUMER GOODS,MCDOWELL-N
V-Guard Industries Ltd.,CONSUMER GOODS,VGUARD
V-Mart Retail Ltd.,CONSUMER SERVICES,VMART
V.I.P. Industries Ltd.,CONSUMER GOODS,VIPIND
VST Industries Ltd.,CONSUMER GOODS,VSTIND
Vaibhav Global Ltd.,CONSUMER SERVICES,VAIBHAVGBL
Vakrangee Ltd.,IT,VAKRANGEE
Valiant Organics Ltd.,CHEMICALS,VALIANTORG
Vardhman Textiles Ltd.,TEXTILES,VTL
Varroc Engineering Ltd.,AUTOMOBILE,VARROC
Varun Beverages Ltd.,CONSUMER GOODS,VBL
Vedanta Ltd.,METALS,VEDL
Venky's (India) Ltd.,CONSUMER GOODS,VENKEYS
Vinati Organics Ltd.,CHEMICALS,VINATIORGA
Vodafone Idea Ltd.,TELECOM,IDEA
Voltas Ltd.,CONSUMER GOODS,VOLTAS
WABCO India Ltd.,AUTOMOBILE,WABCOINDIA
Welspun Corp Ltd.,METALS,WELCORP
Welspun India Ltd.,TEXTILES,WELSPUNIND
Westlife Development Ltd.,CONSUMER SERVICES,WESTLIFE
Whirlpool of India Ltd.,CONSUMER GOODS,WHIRLPOOL
Wipro Ltd.,IT,WIPRO
Wockhardt Ltd.,PHARMA,WOCKPHARMA
Yes Bank Ltd.,FINANCIAL SERVICES,YESBANK
Zee Entertainment Enterprises Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,ZEEL
Zensar Technolgies Ltd.,IT,ZENSARTECH
Zydus Wellness Ltd.,CONSUMER GOODS,ZYDUSWELL
eClerx Services Ltd.,IT,ECLERX
